name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/08-words/all-russian,count-spans,0.1.0 (rev be8b1354b8),python/re,3.12.3,,123942,1183,4.56s,2.54ms,6.86us,2.54ms,13.48us,2.51ms,2.66ms
curated/08-words/all-russian,count-spans,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,123942,606,4.56s,4.96ms,9.19us,4.96ms,15.40us,4.93ms,5.03ms
curated/08-words/all-russian,count-spans,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,123942,415,4.56s,7.25ms,113.26us,7.24ms,105.80us,7.09ms,7.57ms
curated/08-words/long-english,count-spans,0.1.0 (rev be8b1354b8),python/re,3.12.3,,76401,5993,4.56s,498.66us,2.59us,500.38us,6.72us,490.72us,784.36us
curated/08-words/long-english,count-spans,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,76401,36649,4.56s,81.69us,41.00ns,81.83us,860.00ns,81.54us,105.37us
curated/08-words/long-english,count-spans,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,76401,36533,4.56s,81.96us,57.00ns,82.09us,824.00ns,81.67us,102.50us
curated/08-words/long-russian,count-spans,0.1.0 (rev be8b1354b8),python/re,3.12.3,,123942,3394,4.56s,881.81us,2.10us,883.81us,7.83us,875.33us,1.17ms
curated/08-words/long-russian,count-spans,0.1.0 (rev be8b1354b8),rust/regex,1.11.0,,123942,1088,4.51s,2.76ms,6.46us,2.76ms,10.59us,2.73ms,2.81ms
curated/08-words/long-russian,count-spans,0.1.0 (rev be8b1354b8),rust/regex-lookbehind,1.12.0,,123942,864,4.51s,3.47ms,4.13us,3.47ms,11.34us,3.45ms,3.71ms
curated/09-aws-keys/full,grep-captures,0.1.0 (rev be8b1354b8),python/re,3.12.3,,32514634,11,4.96s,276.25ms,202.44us,276.89ms,2.26ms,275.87ms,284.00ms
